"Step","ctrl_cost 0.5 ant leg weight 1 - valid_returns","ctrl_cost 0.5 ant leg weight 1 - valid_returns__MIN","ctrl_cost 0.5 ant leg weight 1 - valid_returns__MAX"
"339","6.371983051300049","6.371983051300049","6.371983051300049"
"340","6.933350086212158","6.933350086212158","6.933350086212158"
"341","7.22285270690918","7.22285270690918","7.22285270690918"
"342","7.920345306396484","7.920345306396484","7.920345306396484"
"343","7.600091457366943","7.600091457366943","7.600091457366943"
"344","7.108680248260498","7.108680248260498","7.108680248260498"
"345","8.106013298034668","8.106013298034668","8.106013298034668"
"346","8.250594139099121","8.250594139099121","8.250594139099121"
"347","8.725980758666992","8.725980758666992","8.725980758666992"
"348","9.127350807189941","9.127350807189941","9.127350807189941"
"349","9.719493865966797","9.719493865966797","9.719493865966797"
"350","9.612744331359863","9.612744331359863","9.612744331359863"
"351","10.413430213928223","10.413430213928223","10.413430213928223"
"352","9.94042682647705","9.94042682647705","9.94042682647705"
"353","10.535758972167969","10.535758972167969","10.535758972167969"
"354","10.995830535888672","10.995830535888672","10.995830535888672"
"355","10.869287490844727","10.869287490844727","10.869287490844727"
"356","11.477782249450684","11.477782249450684","11.477782249450684"
"357","11.714011192321777","11.714011192321777","11.714011192321777"
"358","12.045305252075195","12.045305252075195","12.045305252075195"
"359","11.903273582458496","11.903273582458496","11.903273582458496"
"360","12.409832000732422","12.409832000732422","12.409832000732422"
"361","13.123102188110352","13.123102188110352","13.123102188110352"
"362","12.731243133544922","12.731243133544922","12.731243133544922"
"363","13.434517860412598","13.434517860412598","13.434517860412598"
"364","12.796278953552246","12.796278953552246","12.796278953552246"
"365","12.789011001586914","12.789011001586914","12.789011001586914"
"366","13.85550308227539","13.85550308227539","13.85550308227539"
"367","14.453845977783203","14.453845977783203","14.453845977783203"
"368","14.814813613891602","14.814813613891602","14.814813613891602"
"369","14.18945026397705","14.18945026397705","14.18945026397705"
"370","15.592028617858887","15.592028617858887","15.592028617858887"
"371","14.066472053527832","14.066472053527832","14.066472053527832"
"372","16.616313934326172","16.616313934326172","16.616313934326172"
"373","15.426535606384277","15.426535606384277","15.426535606384277"
"374","16.661705017089844","16.661705017089844","16.661705017089844"
"375","16.865827560424805","16.865827560424805","16.865827560424805"
"376","17.10576629638672","17.10576629638672","17.10576629638672"
"377","16.94791603088379","16.94791603088379","16.94791603088379"
"378","17.132131576538086","17.132131576538086","17.132131576538086"
"379","18.333791732788086","18.333791732788086","18.333791732788086"
"380","18.89914321899414","18.89914321899414","18.89914321899414"
"381","18.639062881469727","18.639062881469727","18.639062881469727"
"382","18.356464385986328","18.356464385986328","18.356464385986328"
"383","19.786426544189453","19.786426544189453","19.786426544189453"
"384","19.74794578552246","19.74794578552246","19.74794578552246"
"385","20.671098709106445","20.671098709106445","20.671098709106445"
"386","20.821489334106445","20.821489334106445","20.821489334106445"
"387","20.248088836669922","20.248088836669922","20.248088836669922"
"388","20.577674865722656","20.577674865722656","20.577674865722656"
"389","20.015060424804688","20.015060424804688","20.015060424804688"
"390","21.525917053222656","21.525917053222656","21.525917053222656"
"391","21.172222137451172","21.172222137451172","21.172222137451172"
"392","22.584909439086914","22.584909439086914","22.584909439086914"
"393","22.607484817504883","22.607484817504883","22.607484817504883"
"394","23.985363006591797","23.985363006591797","23.985363006591797"
"395","24.259544372558594","24.259544372558594","24.259544372558594"
"396","25.665220260620117","25.665220260620117","25.665220260620117"
"397","24.206466674804688","24.206466674804688","24.206466674804688"
"398","26.837648391723633","26.837648391723633","26.837648391723633"
"399","27.56368637084961","27.56368637084961","27.56368637084961"
"400","27.3330020904541","27.3330020904541","27.3330020904541"
"401","28.36575698852539","28.36575698852539","28.36575698852539"
"402","28.312448501586914","28.312448501586914","28.312448501586914"
"403","28.159351348876953","28.159351348876953","28.159351348876953"
"404","29.045753479003906","29.045753479003906","29.045753479003906"
"405","30.287919998168945","30.287919998168945","30.287919998168945"
"406","29.476774215698242","29.476774215698242","29.476774215698242"
"407","32.80045700073242","32.80045700073242","32.80045700073242"
"408","34.231910705566406","34.231910705566406","34.231910705566406"
"409","30.766454696655273","30.766454696655273","30.766454696655273"
"410","33.4903450012207","33.4903450012207","33.4903450012207"
"411","32.657310485839844","32.657310485839844","32.657310485839844"
"412","35.04399490356445","35.04399490356445","35.04399490356445"
"413","35.08293151855469","35.08293151855469","35.08293151855469"
"414","37.028419494628906","37.028419494628906","37.028419494628906"
"415","34.922401428222656","34.922401428222656","34.922401428222656"
"416","36.806724548339844","36.806724548339844","36.806724548339844"
"417","36.50599670410156","36.50599670410156","36.50599670410156"
"418","38.105438232421875","38.105438232421875","38.105438232421875"
"419","36.45927429199219","36.45927429199219","36.45927429199219"
"420","39.834861755371094","39.834861755371094","39.834861755371094"
"421","41.82237243652344","41.82237243652344","41.82237243652344"
"422","39.0914421081543","39.0914421081543","39.0914421081543"
"423","40.81148147583008","40.81148147583008","40.81148147583008"
"424","41.169227600097656","41.169227600097656","41.169227600097656"
"425","43.3057861328125","43.3057861328125","43.3057861328125"
"426","45.593257904052734","45.593257904052734","45.593257904052734"
"427","44.616519927978516","44.616519927978516","44.616519927978516"
"428","47.1425666809082","47.1425666809082","47.1425666809082"
"429","48.13211441040039","48.13211441040039","48.13211441040039"
"430","49.8366813659668","49.8366813659668","49.8366813659668"
"431","45.422874450683594","45.422874450683594","45.422874450683594"
"432","48.007476806640625","48.007476806640625","48.007476806640625"
"433","48.96754837036133","48.96754837036133","48.96754837036133"
"434","48.933311462402344","48.933311462402344","48.933311462402344"
"435","52.62504577636719","52.62504577636719","52.62504577636719"
"436","51.943260192871094","51.943260192871094","51.943260192871094"
"437","52.43592834472656","52.43592834472656","52.43592834472656"
"438","55.11820983886719","55.11820983886719","55.11820983886719"
"439","56.654170989990234","56.654170989990234","56.654170989990234"
"440","55.75481414794922","55.75481414794922","55.75481414794922"
"441","54.709659576416016","54.709659576416016","54.709659576416016"
